procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 95932240 111700 34680016    0    0     0     3    1    1  0  0 100  0  0
 1  0      0 95762016 111700 34680024    0    0     0     0 1994 1389  5  0 95  0  0
 1  0      0 95715392 111700 34680024    0    0     0     0  923 1313  2  0 98  0  0
 1  0      0 95662992 111700 34680032    0    0     0   280 1043 1447  2  0 98  0  0
 1  0      0 95572104 111700 34680048    0    0     0    60  530  495  1  0 98  0  0
 1  0      0 95238768 111700 34680048    0    0     0   176  464  286  1  0 98  0  0
 1  0      0 95212056 111700 34680048    0    0     0     0  367  253  2  0 98  0  0
 1  0      0 94747248 111700 34788508    0    0     0     0 3306 1533  2  2 97  0  0
 4  0      0 94175992 111700 34821976    0    0     0   264 8458 14534  1  1 98  0  0
 4  0      0 93638464 111700 35002756    0    0     0     8 19420 14746  2  2 96  0  0
 4  0      0 93586368 111700 35003504    0    0     0     8 1842 17584  4  0 96  0  0
 1  0      0 93568000 111700 35021152    0    0     0     0 1873 19271  4  0 96  0  0
 1  0      0 93571176 111700 35021732    0    0     0     0 1916 19894  4  0 96  0  0
 3  0      0 93585128 111700 35003588    0    0     0     0 1925 19659  4  0 96  0  0
 2  0      0 93588760 111700 35003340    0    0     0   504 1830 17034  4  0 96  0  0
 1  0      0 93589824 111700 35003020    0    0     0     0 2559 19728  4  0 96  0  0
 3  0      0 93588912 111700 35002908    0    0     0     8 2368 19265  4  0 96  0  0
 4  0      0 93590720 111700 35003464    0    0     0     4 2531 18642  4  0 96  0  0
 3  0      0 93569008 111700 35021368    0    0     0   172 2449 20436  4  0 96  0  0
 2  0      0 93575992 111700 35017432    0    0     0    12 2035 19622  4  0 96  0  0
 1  0      0 93590016 111700 35003292    0    0     0   344 1846 19716  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 93590072 111700 35002980    0    0     0     8 1908 16626  4  0 96  0  0
 1  0      0 93567848 111700 35021844    0    0     0     0 1899 19260  4  0 96  0  0
 4  0      0 93585888 111700 35003372    0    0     0     0 1980 20520  4  0 96  0  0
 3  0      0 93585912 111700 35003040    0    0     0    80 1763 19850  4  0 96  0  0
 2  0      0 93584984 111700 35002552    0    0     0     0 1823 18659  4  0 96  0  0
 5  0      0 93566928 111700 35021732    0    0     0     0 1790 17194  4  0 96  0  0
 1  0      0 93584984 111700 35003292    0    0     0     8 1892 19166  4  0 96  0  0
 4  0      0 93584976 111700 35002976    0    0     0     0 1889 19511  4  0 96  0  0
 4  0      0 93583832 111700 35002996    0    0     0    12 1874 16079  4  0 96  0  0
 4  0      0 93584896 111700 35002912    0    0     0     0 1870 17969  4  0 96  0  0
 3  0      0 93584560 111700 35002900    0    0     0     0 1698 16936  4  0 96  0  0
 1  0      0 93566408 111700 35021796    0    0     0    12 1810 17758  4  0 96  0  0
 1  0      0 93566496 111700 35021308    0    0     0     0 1965 19302  4  0 96  0  0
 4  0      0 93584560 111700 35003292    0    0     0    28 1855 19547  4  0 96  0  0
 4  0      0 93585056 111700 35002552    0    0     0     0 1810 16886  4  0 96  0  0
 1  0      0 93567496 111700 35021848    0    0     0     0 1831 18783  4  0 96  0  0
 2  0      0 93585232 111700 35002916    0    0     0     0 1857 19266  4  0 96  0  0
 4  0      0 93585136 111700 35003360    0    0     0     8 1807 19166  4  0 96  0  0
 3  0      0 93584912 111700 35002556    0    0     0   252 2134 18615  4  0 96  0  0
 4  0      0 93583552 111700 35003340    0    0     0     0 1948 18380  4  0 96  0  0
 1  0      0 93581240 111700 35002980    0    0     0     0 1875 18056  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 93580368 111700 35003392    0    0     0     0 1915 19561  4  0 96  0  0
 4  0      0 93582912 111700 35003000    0    0     0    12 1979 19652  4  0 96  0  0
 1  0      0 93564792 111700 35021820    0    0     0    40 1720 15882  4  0 96  0  0
 2  0      0 93582448 111700 35003004    0    0     0     0 2039 19855  4  0 96  0  0
 2  0      0 93582208 111700 35002992    0    0     0     0 2027 20617  4  0 96  0  0
 2  0      0 93581488 111704 35003432    0    0     0   264 2057 16909  4  0 96  0  0
 2  0      0 93581488 111704 35003004    0    0     0     0 1854 18698  4  0 96  0  0
 2  0      0 93581760 111704 35002992    0    0     0    12 2003 19926  4  0 96  0  0
 5  0      0 93563384 111704 35021824    0    0     0     0 1943 16430  4  0 96  0  0
 4  0      0 93581040 111704 35003004    0    0     0     0 2010 19723  4  0 96  0  0
 3  0      0 93581072 111704 35003432    0    0     0     0 1788 17179  4  0 96  0  0
 1  0      0 93562432 111704 35021824    0    0     0    24 2303 19811  4  0 96  0  0
 1  0      0 93580592 111704 35003004    0    0     0     8 2037 21002  4  0 96  0  0
 5  0      0 93561952 111704 35021824    0    0     0     0 1788 15948  4  0 96  0  0
 2  0      0 93580112 111704 35003004    0    0     0     0 2166 20571  4  0 96  0  0
 4  0      0 93579136 111704 35003420    0    0     0     0 1964 19327  4  0 96  0  0
 1  0      0 93561248 111704 35021824    0    0     0    12 1841 16119  4  0 96  0  0
 4  0      0 93578920 111704 35003004    0    0     0     0 2015 20767  4  0 96  0  0
 1  0      0 93561024 111704 35021824    0    0     0     8 1701 15796  4  0 96  0  0
 1  0      0 93578688 111704 35003004    0    0     0    28 2069 20320  4  0 96  0  0
 1  0      0 93560048 111704 35021812    0    0     0     0 1724 15472  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 93578464 111704 35003004    0    0     0    68 2078 20746  4  0 96  0  0
 3  0      0 93577480 111704 35003420    0    0     0     0 1926 19012  4  0 96  0  0
 1  0      0 93559856 111704 35021824    0    0     0     8 1878 17025  4  0 96  0  0
 4  0      0 93577272 111704 35003420    0    0     0     0 1957 19487  4  0 96  0  0
 1  0      0 93559128 111704 35021824    0    0     0    40 1929 16272  4  0 96  0  0
 1  0      0 93576544 111704 35003004    0    0     0     0 2033 21247  4  0 96  0  0
 1  0      0 93558656 111704 35021824    0    0     0     0 1797 15240  4  0 96  0  0
 2  0      0 93566280 111704 35014620    0    0     0     0 1906 19940  4  0 96  0  0
 2  0      0 93576656 111704 35003016    0    0     0     8 1993 20233  4  0 96  0  0
 1  0      0 93577128 111704 35003004    0    0     0    12 1904 20110  4  0 96  0  0
 1  0      0 93576928 111704 35003016    0    0     0     4 1723 19056  4  0 96  0  0
 4  0      0 93558528 111704 35021824    0    0     0    56 1763 17350  4  0 96  0  0
 1  0      0 93558800 111704 35021824    0    0     0     0 1906 19669  4  0 96  0  0
 3  0      0 93576704 111704 35003004    0    0     0     8 1886 20336  4  0 96  0  0
 2  0      0 93576216 111708 35003004    0    0     0   100 2695 22117  4  0 96  0  0
 2  0      0 93576512 111708 35003008    0    0     0     0 2418 20330  4  0 96  0  0
 3  0      0 93576064 111708 35003436    0    0     0     0 2413 18779  4  0 96  0  0
 2  0      0 93576312 111708 35003008    0    0     0     0 2318 19054  4  0 96  0  0
 1  0      0 93576080 111708 35003008    0    0     0   132 2477 21000  4  0 96  0  0
 2  0      0 93575584 111708 35003008    0    0     0    16 1981 19676  4  0 96  0  0
 2  0      0 93557712 111708 35021828    0    0     0     0 1759 15775  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 93557728 111708 35021828    0    0     0     0 1911 19654  4  0 96  0  0
 2  0      0 93575632 111708 35003008    0    0     0     0 1920 20069  4  0 96  0  0
 1  0      0 93575152 111708 35003024    0    0     0     0 1971 20553  4  0 96  0  0
 2  0      0 93575408 111708 35003012    0    0     0    64 1791 18840  4  0 96  0  0
 4  0      0 93557056 111708 35021352    0    0     0     0 1889 17093  4  0 96  0  0
 1  0      0 93556816 111708 35021836    0    0     0     0 1898 19412  4  0 96  0  0
 1  0      0 93574496 111708 35003016    0    0     0     0 2129 19868  4  0 96  0  0
 4  0      0 93574768 111708 35003016    0    0     0     0 2086 19912  4  0 96  0  0
 3  0      0 93575608 111708 35002636    0    0     0    36 1703 16190  4  0 96  0  0
 1  0      0 93553952 111708 35021760    0    0     0    12 1948 19258  4  0 96  0  0
 1  0      0 93571984 111708 35003304    0    0     0   252 2017 20019  4  0 96  0  0
 4  0      0 93572800 111708 35002928    0    0     0     0 1912 19507  4  0 96  0  0
 4  0      0 93573040 111708 35002924    0    0     0     4 1814 18965  4  0 96  0  0
 1  0      0 93554904 111708 35021744    0    0     0    28 1881 16255  4  0 96  0  0
 1  0      0 93554160 111708 35021748    0    0     0   136 2144 19770  4  0 96  0  0
 2  0      0 93554176 111708 35021336    0    0     0     0 2023 19339  4  0 96  0  0
 2  0      0 93572336 111708 35002932    0    0     0     0 1878 19455  4  0 96  0  0
 4  0      0 93571376 111708 35002944    0    0     0     0 1921 19213  4  0 96  0  0
 4  0      0 93571872 111708 35002932    0    0     0     0 1942 19356  4  0 96  0  0
 4  0      0 93571648 111708 35003360    0    0     0    72 2030 19575  4  0 96  0  0
 2  0      0 93569888 111708 35005352    0    0     0     0 1699 16141  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 93571728 111708 35002944    0    0     0     0 2026 19670  4  0 96  0  0
 1  0      0 93571728 111708 35002932    0    0     0     0 2218 19861  4  0 96  0  0
 3  0      0 93571520 111708 35002932    0    0     0    88 2198 19869  4  0 96  0  0
 4  0      0 93553656 111708 35021740    0    0     0    44 1652 15158  4  0 96  0  0
 1  0      0 93553424 111708 35021752    0    0     0     0 1931 19386  4  0 96  0  0
