index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 469 MiB
1, 2 %, 0 %, 277 MiB
2, 0 %, 0 %, 11 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 821 MiB
1, 7 %, 0 %, 625 MiB
2, 0 %, 0 %, 625 MiB
3, 8 %, 0 %, 605 MiB
0, 36 %, 11 %, 1973 MiB
1, 34 %, 10 %, 1961 MiB
2, 39 %, 12 %, 1961 MiB
3, 40 %, 11 %, 1941 MiB
0, 17 %, 6 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 25 %, 8 %, 1971 MiB
3, 38 %, 11 %, 1951 MiB
0, 20 %, 7 %, 2309 MiB
1, 17 %, 5 %, 1971 MiB
2, 28 %, 9 %, 1971 MiB
3, 41 %, 13 %, 1951 MiB
0, 17 %, 6 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 20 %, 7 %, 1971 MiB
3, 33 %, 10 %, 1951 MiB
0, 40 %, 13 %, 2309 MiB
1, 41 %, 12 %, 1971 MiB
2, 32 %, 11 %, 1971 MiB
3, 23 %, 8 %, 1951 MiB
0, 48 %, 15 %, 2309 MiB
1, 49 %, 14 %, 1971 MiB
2, 41 %, 12 %, 1971 MiB
3, 39 %, 12 %, 1951 MiB
0, 47 %, 15 %, 2309 MiB
1, 48 %, 14 %, 1971 MiB
2, 41 %, 12 %, 1971 MiB
3, 38 %, 12 %, 1951 MiB
0, 48 %, 16 %, 2309 MiB
1, 38 %, 11 %, 1971 MiB
2, 52 %, 17 %, 1971 MiB
3, 55 %, 17 %, 1951 MiB
0, 21 %, 7 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 28 %, 9 %, 1971 MiB
3, 39 %, 12 %, 1951 MiB
0, 18 %, 7 %, 2309 MiB
1, 23 %, 8 %, 1971 MiB
2, 17 %, 5 %, 1971 MiB
3, 21 %, 7 %, 1951 MiB
0, 3 %, 1 %, 2309 MiB
1, 14 %, 4 %, 1971 MiB
2, 3 %, 1 %, 1971 MiB
3, 2 %, 2 %, 1951 MiB
0, 45 %, 14 %, 2309 MiB
1, 50 %, 14 %, 1971 MiB
2, 42 %, 12 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 46 %, 13 %, 1971 MiB
2, 40 %, 12 %, 1971 MiB
3, 34 %, 11 %, 1951 MiB
0, 46 %, 15 %, 2309 MiB
1, 49 %, 14 %, 1971 MiB
2, 43 %, 13 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 39 %, 12 %, 2309 MiB
1, 28 %, 9 %, 1971 MiB
2, 42 %, 13 %, 1971 MiB
3, 51 %, 16 %, 1951 MiB
0, 54 %, 18 %, 2309 MiB
1, 39 %, 12 %, 1971 MiB
2, 52 %, 16 %, 1971 MiB
3, 54 %, 17 %, 1951 MiB
0, 40 %, 13 %, 2309 MiB
1, 22 %, 7 %, 1971 MiB
2, 36 %, 11 %, 1971 MiB
3, 45 %, 14 %, 1951 MiB
0, 29 %, 11 %, 2309 MiB
1, 40 %, 12 %, 1971 MiB
2, 31 %, 10 %, 1971 MiB
3, 23 %, 8 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 46 %, 13 %, 1971 MiB
2, 41 %, 12 %, 1971 MiB
3, 32 %, 10 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 48 %, 14 %, 1971 MiB
2, 43 %, 13 %, 1971 MiB
3, 36 %, 11 %, 1951 MiB
0, 39 %, 13 %, 2309 MiB
1, 44 %, 13 %, 1971 MiB
2, 40 %, 12 %, 1971 MiB
3, 24 %, 8 %, 1951 MiB
0, 50 %, 16 %, 2309 MiB
1, 32 %, 10 %, 1971 MiB
2, 44 %, 14 %, 1971 MiB
3, 55 %, 17 %, 1951 MiB
0, 56 %, 19 %, 2309 MiB
1, 46 %, 15 %, 1971 MiB
2, 52 %, 16 %, 1971 MiB
3, 52 %, 15 %, 1951 MiB
0, 56 %, 19 %, 2309 MiB
1, 47 %, 15 %, 1971 MiB
2, 52 %, 17 %, 1971 MiB
3, 52 %, 15 %, 1951 MiB
0, 19 %, 7 %, 2309 MiB
1, 22 %, 8 %, 1971 MiB
2, 16 %, 5 %, 1971 MiB
3, 20 %, 7 %, 1951 MiB
0, 16 %, 5 %, 2309 MiB
1, 23 %, 8 %, 1971 MiB
2, 16 %, 5 %, 1971 MiB
3, 18 %, 6 %, 1951 MiB
0, 32 %, 12 %, 2309 MiB
1, 40 %, 12 %, 1971 MiB
2, 30 %, 10 %, 1971 MiB
3, 22 %, 7 %, 1951 MiB
0, 52 %, 16 %, 2309 MiB
1, 54 %, 17 %, 1971 MiB
2, 51 %, 14 %, 1971 MiB
3, 46 %, 13 %, 1951 MiB
0, 55 %, 18 %, 2309 MiB
1, 52 %, 17 %, 1971 MiB
2, 54 %, 16 %, 1971 MiB
3, 50 %, 14 %, 1951 MiB
0, 55 %, 18 %, 2309 MiB
1, 44 %, 14 %, 1971 MiB
2, 54 %, 16 %, 1971 MiB
3, 31 %, 10 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 25 %, 8 %, 1971 MiB
2, 42 %, 13 %, 1971 MiB
3, 42 %, 12 %, 1951 MiB
0, 36 %, 12 %, 2309 MiB
1, 42 %, 13 %, 1971 MiB
2, 36 %, 10 %, 1971 MiB
3, 35 %, 11 %, 1951 MiB
0, 38 %, 13 %, 2309 MiB
1, 44 %, 13 %, 1971 MiB
2, 39 %, 11 %, 1971 MiB
3, 34 %, 10 %, 1951 MiB
0, 47 %, 15 %, 2309 MiB
1, 51 %, 15 %, 1971 MiB
2, 45 %, 13 %, 1971 MiB
3, 17 %, 6 %, 1951 MiB
0, 48 %, 16 %, 2309 MiB
1, 31 %, 10 %, 1971 MiB
2, 48 %, 16 %, 1971 MiB
3, 28 %, 9 %, 1951 MiB
0, 22 %, 7 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 22 %, 7 %, 1971 MiB
3, 48 %, 14 %, 1951 MiB
0, 17 %, 6 %, 2309 MiB
1, 24 %, 8 %, 1971 MiB
2, 18 %, 6 %, 1971 MiB
3, 52 %, 15 %, 1951 MiB
0, 0 %, 0 %, 2309 MiB
1, 10 %, 3 %, 1971 MiB
2, 1 %, 0 %, 1971 MiB
3, 51 %, 15 %, 1951 MiB
0, 16 %, 6 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 47 %, 14 %, 1971 MiB
3, 15 %, 5 %, 1951 MiB
0, 40 %, 14 %, 2309 MiB
1, 51 %, 16 %, 1971 MiB
2, 54 %, 16 %, 1971 MiB
3, 28 %, 10 %, 1951 MiB
0, 38 %, 13 %, 2309 MiB
1, 49 %, 16 %, 1971 MiB
2, 54 %, 17 %, 1971 MiB
3, 28 %, 10 %, 1951 MiB
0, 57 %, 19 %, 2309 MiB
1, 19 %, 6 %, 1971 MiB
2, 17 %, 5 %, 1971 MiB
3, 54 %, 15 %, 1951 MiB
0, 56 %, 19 %, 2309 MiB
1, 17 %, 5 %, 1971 MiB
2, 18 %, 6 %, 1971 MiB
3, 53 %, 15 %, 1951 MiB
0, 56 %, 18 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 57 %, 17 %, 1971 MiB
3, 52 %, 14 %, 1951 MiB
0, 17 %, 6 %, 2309 MiB
1, 44 %, 13 %, 1971 MiB
2, 15 %, 5 %, 1971 MiB
3, 28 %, 9 %, 1951 MiB
0, 18 %, 6 %, 2309 MiB
1, 44 %, 13 %, 1971 MiB
2, 17 %, 5 %, 1971 MiB
3, 28 %, 9 %, 1951 MiB
0, 29 %, 9 %, 2309 MiB
1, 41 %, 12 %, 1971 MiB
2, 23 %, 7 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 38 %, 12 %, 2309 MiB
1, 33 %, 10 %, 1971 MiB
2, 32 %, 10 %, 1971 MiB
3, 49 %, 16 %, 1951 MiB
0, 17 %, 6 %, 2309 MiB
1, 49 %, 14 %, 1971 MiB
2, 14 %, 5 %, 1971 MiB
3, 16 %, 5 %, 1951 MiB
0, 27 %, 8 %, 2309 MiB
1, 41 %, 12 %, 1971 MiB
2, 20 %, 7 %, 1971 MiB
3, 38 %, 11 %, 1951 MiB
0, 34 %, 10 %, 2309 MiB
1, 38 %, 12 %, 1971 MiB
2, 26 %, 8 %, 1971 MiB
3, 44 %, 14 %, 1951 MiB
0, 23 %, 8 %, 2309 MiB
1, 50 %, 14 %, 1971 MiB
2, 24 %, 9 %, 1971 MiB
3, 18 %, 5 %, 1951 MiB
0, 16 %, 5 %, 2309 MiB
1, 49 %, 14 %, 1971 MiB
2, 16 %, 5 %, 1971 MiB
3, 15 %, 5 %, 1951 MiB
0, 23 %, 9 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 25 %, 9 %, 1971 MiB
3, 16 %, 5 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 48 %, 16 %, 1971 MiB
2, 44 %, 13 %, 1971 MiB
3, 36 %, 12 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 48 %, 16 %, 1971 MiB
2, 42 %, 12 %, 1971 MiB
3, 29 %, 10 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 49 %, 14 %, 1971 MiB
2, 44 %, 13 %, 1971 MiB
3, 34 %, 11 %, 1951 MiB
0, 41 %, 14 %, 2309 MiB
1, 44 %, 13 %, 1971 MiB
2, 41 %, 12 %, 1971 MiB
3, 16 %, 5 %, 1951 MiB
0, 54 %, 17 %, 2309 MiB
1, 55 %, 17 %, 1971 MiB
2, 52 %, 15 %, 1971 MiB
3, 43 %, 12 %, 1951 MiB
0, 52 %, 16 %, 2309 MiB
1, 55 %, 17 %, 1971 MiB
2, 50 %, 15 %, 1971 MiB
3, 42 %, 12 %, 1951 MiB
0, 52 %, 16 %, 2309 MiB
1, 55 %, 17 %, 1971 MiB
2, 51 %, 15 %, 1971 MiB
3, 42 %, 12 %, 1951 MiB
0, 28 %, 9 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 21 %, 7 %, 1971 MiB
3, 46 %, 15 %, 1951 MiB
0, 38 %, 12 %, 2309 MiB
1, 17 %, 6 %, 1971 MiB
2, 31 %, 10 %, 1971 MiB
3, 52 %, 16 %, 1951 MiB
0, 53 %, 18 %, 2309 MiB
1, 34 %, 10 %, 1971 MiB
2, 45 %, 14 %, 1971 MiB
3, 53 %, 16 %, 1951 MiB
0, 26 %, 8 %, 2309 MiB
1, 17 %, 6 %, 1971 MiB
2, 17 %, 5 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 25 %, 8 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 17 %, 5 %, 1971 MiB
3, 39 %, 12 %, 1951 MiB
0, 39 %, 12 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 25 %, 8 %, 1971 MiB
3, 52 %, 16 %, 1951 MiB
0, 35 %, 11 %, 2309 MiB
1, 16 %, 5 %, 1971 MiB
2, 21 %, 7 %, 1971 MiB
3, 49 %, 16 %, 1951 MiB
0, 21 %, 8 %, 2309 MiB
1, 33 %, 11 %, 1971 MiB
2, 27 %, 10 %, 1971 MiB
3, 20 %, 7 %, 1951 MiB
0, 17 %, 6 %, 2309 MiB
1, 18 %, 6 %, 1971 MiB
2, 15 %, 5 %, 1971 MiB
3, 31 %, 10 %, 1951 MiB
0, 16 %, 5 %, 2309 MiB
1, 18 %, 7 %, 1971 MiB
2, 13 %, 4 %, 1971 MiB
3, 23 %, 8 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 50 %, 14 %, 1971 MiB
2, 46 %, 13 %, 1971 MiB
3, 35 %, 11 %, 1951 MiB
0, 31 %, 12 %, 2309 MiB
1, 42 %, 12 %, 1971 MiB
2, 40 %, 12 %, 1971 MiB
3, 21 %, 8 %, 1951 MiB
0, 16 %, 5 %, 2309 MiB
1, 33 %, 11 %, 1971 MiB
2, 26 %, 9 %, 1971 MiB
3, 16 %, 5 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 50 %, 14 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 49 %, 14 %, 1971 MiB
3, 37 %, 11 %, 1951 MiB
0, 44 %, 14 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 49 %, 14 %, 1971 MiB
3, 40 %, 12 %, 1951 MiB
0, 43 %, 14 %, 2309 MiB
1, 52 %, 15 %, 1971 MiB
2, 49 %, 14 %, 1971 MiB
3, 38 %, 11 %, 1951 MiB
0, 56 %, 18 %, 2309 MiB
1, 42 %, 13 %, 1971 MiB
2, 51 %, 16 %, 1971 MiB
3, 52 %, 15 %, 1951 MiB
0, 50 %, 16 %, 2309 MiB
1, 53 %, 17 %, 1971 MiB
2, 54 %, 17 %, 1971 MiB
3, 45 %, 13 %, 1951 MiB
0, 55 %, 17 %, 2309 MiB
1, 44 %, 14 %, 1971 MiB
