model,GPU type,Num of GPUs,batch_size,dataset,epochs,mode
resnet50,M40,1,128,mnist,8,
densenet169,k80,2,64,cifar100,5,dp
resnet152,k80,1,32,mnist,7,
densenet201,M40,1,64,cifar10,4,
resnet50,k80,2,128,cifar100,6,dp
resnet18,k80,2,32,cifar10,2,ddp
facebook/opt125m,k80,2,1,,,
resnet152,P100,2,32,cifar10,4,ddp
densenet161,P100,4,32,cifar10,2,dp
mobilenet_v2,k80,2,32,mnist,1,ddp
resnet101,P100,1,64,cifar100,4,
resnet101,P100,2,128,mnist,7,ddp
densenet161,M40,1,128,mnist,8,
resnet101,P100,4,64,cifar10,4,ddp
resnet101,P100,2,128,cifar10,2,dp
facebook/opt350m,M40,1,4,,,
mobilenet_v2,P100,2,64,mnist,3,dp
resnet152,k80,2,32,cifar10,7,dp
resnet101,P100,2,64,mnist,8,ddp
densenet169,P100,2,64,mnist,6,ddp
densenet169,P100,1,64,cifar10,7,
densenet161,k80,2,64,cifar10,2,dp
densenet161,k80,2,32,mnist,2,ddp
densenet121,P100,4,32,cifar100,6,ddp
facebook/opt125m,k80,1,32,,,
resnet152,k80,1,32,cifar100,7,
resnet152,k80,1,64,cifar100,3,
densenet161,k80,2,32,cifar10,3,dp
mobilenet_v2,P100,4,32,cifar100,4,ddp
resnet34,P100,1,128,mnist,6,
densenet169,P100,1,64,mnist,1,
resnet152,k80,2,128,mnist,7,dp
resnet34,P100,1,64,mnist,7,
resnet34,P100,2,32,mnist,4,ddp
resnet152,P100,1,64,cifar100,4,
densenet201,k80,2,32,mnist,1,ddp
mobilenet_v2,P100,1,64,mnist,8,
resnet50,k80,2,128,cifar10,6,dp
resnet152,k80,1,128,cifar100,1,
resnet34,P100,4,64,cifar10,7,dp
resnet152,P100,1,128,cifar100,7,
resnet101,k80,2,128,mnist,2,dp
densenet121,P100,4,128,cifar10,7,dp
resnet101,P100,2,128,cifar10,2,dp
resnet152,P100,2,64,cifar10,8,ddp
densenet169,k80,2,64,cifar10,1,ddp
densenet201,P100,2,32,cifar10,4,ddp
densenet201,P100,4,64,cifar100,8,ddp
resnet101,k80,1,64,cifar10,7,
densenet121,M40,1,128,cifar100,3,
densenet161,P100,1,128,cifar100,3,
densenet201,P100,1,64,cifar10,2,
resnet152,P100,4,128,mnist,7,ddp
densenet121,M40,1,64,mnist,1,
resnet101,P100,2,128,cifar100,8,ddp
resnet34,P100,2,64,mnist,5,ddp
resnet18,P100,4,64,mnist,4,dp
densenet161,P100,4,128,mnist,5,dp
resnet34,M40,1,64,cifar10,6,
resnet152,k80,1,128,cifar10,2,
resnet34,k80,1,128,cifar100,2,
densenet201,P100,2,64,cifar100,5,ddp
mobilenet_v2,k80,1,32,mnist,7,
densenet201,P100,1,128,mnist,5,
densenet161,P100,1,64,cifar10,3,
resnet50,k80,2,128,cifar10,4,dp
resnet101,k80,2,128,cifar100,2,ddp
mobilenet_v2,P100,2,32,cifar10,5,dp
densenet169,k80,2,64,mnist,6,ddp
densenet161,k80,1,32,mnist,1,
densenet169,k80,2,32,mnist,2,dp
densenet169,k80,2,64,cifar100,7,dp
resnet34,k80,2,64,mnist,8,dp
resnet101,P100,4,64,mnist,1,dp
densenet201,P100,4,128,cifar100,2,dp
densenet169,P100,4,32,cifar100,3,dp
resnet34,k80,1,32,cifar100,2,
densenet201,P100,4,64,cifar10,3,ddp
densenet161,k80,1,64,cifar10,7,
facebook/opt2.7b,k80,2,1,,,
mobilenet_v2,P100,1,32,cifar100,4,
resnet101,k80,2,128,mnist,5,dp
resnet152,P100,4,64,cifar100,2,dp
densenet121,k80,2,128,mnist,3,dp
densenet169,M40,1,64,cifar100,1,
resnet50,P100,2,128,cifar10,1,ddp
resnet18,k80,2,32,mnist,3,ddp
densenet169,k80,1,64,mnist,7,
mobilenet_v2,k80,2,64,mnist,3,ddp
mobilenet_v2,M40,1,64,cifar10,2,
densenet169,k80,1,128,mnist,3,
resnet101,P100,4,64,cifar100,8,ddp
densenet161,k80,2,32,cifar100,8,dp
resnet50,k80,1,64,cifar100,4,
resnet34,k80,2,32,cifar100,3,ddp
densenet121,P100,2,64,cifar100,2,dp
densenet121,P100,2,64,cifar100,1,dp
resnet50,P100,4,128,mnist,6,dp
densenet161,P100,2,32,cifar10,1,dp
densenet121,P100,2,128,cifar10,7,ddp
mobilenet_v2,M40,1,128,cifar10,4,
densenet201,P100,4,128,cifar100,6,ddp
densenet121,M40,1,128,cifar10,1,
densenet169,P100,4,32,cifar100,8,dp
resnet18,P100,1,128,cifar100,3,
densenet201,P100,4,32,mnist,3,ddp
resnet101,k80,2,128,mnist,6,ddp
densenet161,P100,4,32,mnist,8,dp
mobilenet_v2,k80,2,32,cifar10,7,ddp
densenet201,P100,2,32,cifar10,4,ddp
densenet121,P100,2,128,cifar10,2,ddp
densenet121,P100,1,32,cifar10,8,
resnet101,P100,2,128,cifar100,4,ddp
densenet169,P100,2,32,mnist,7,dp
densenet121,M40,1,64,cifar10,7,
mobilenet_v2,P100,2,128,cifar10,2,ddp
resnet101,P100,4,128,mnist,7,dp
resnet101,P100,4,32,mnist,4,ddp
resnet50,M40,1,128,cifar100,4,
densenet161,M40,1,32,cifar10,1,
densenet169,k80,2,64,cifar10,8,dp
resnet50,k80,2,128,mnist,1,dp
mobilenet_v2,k80,2,32,mnist,6,dp
resnet152,P100,2,32,mnist,3,ddp
densenet161,P100,2,64,cifar100,7,dp
resnet101,P100,4,32,cifar100,7,dp
densenet161,P100,2,64,mnist,2,dp
resnet18,M40,1,32,mnist,2,
densenet201,P100,1,128,mnist,2,
resnet18,P100,2,128,cifar100,2,dp
resnet34,M40,1,128,mnist,2,
resnet152,P100,1,64,cifar10,8,
resnet18,M40,1,32,cifar100,4,
resnet34,k80,2,32,cifar100,8,dp
mobilenet_v2,P100,4,32,mnist,5,dp
densenet169,k80,1,128,cifar10,8,
mobilenet_v2,P100,1,128,mnist,2,
mobilenet_v2,P100,4,64,cifar100,1,dp
facebook/opt125m,k80,2,16,,,
resnet18,k80,1,128,cifar10,7,
resnet50,M40,1,32,cifar100,4,
resnet50,M40,1,32,mnist,7,
